Date,Close,High,Low,Open,Volume
1973-02-21,1.5076406002044678,1.5076406002044678,1.5076406002044678,1.5076406002044678,99200
1973-02-22,1.5127339363098145,1.5127339363098145,1.5127339363098145,1.5127339363098145,47200
1973-02-23,1.5076406002044678,1.5076406002044678,1.5076406002044678,1.5076406002044678,133600
1973-02-26,1.5076406002044678,1.5076406002044678,1.5076406002044678,1.5076406002044678,24000
1973-02-27,1.5076406002044678,1.5076406002044678,1.5076406002044678,1.5076406002044678,41600
1973-02-28,1.5076406002044678,1.5076406002044678,1.5076406002044678,1.5076406002044678,66400
1973-03-01,1.5178272724151611,1.5178272724151611,1.5178272724151611,1.5178272724151611,93600
1973-03-02,1.5229219198226929,1.5229219198226929,1.5229219198226929,1.5229219198226929,26400
1973-03-05,1.5432937145233154,1.5432937145233154,1.5432937145233154,1.5432937145233154,68000
1973-03-06,1.5891343355178833,1.5891343355178833,1.5891343355178833,1.5891343355178833,76800
1973-03-07,1.5891343355178833,1.5891343355178833,1.5891343355178833,1.5891343355178833,51200
1973-03-08,1.599321722984314,1.599321722984314,1.599321722984314,1.599321722984314,84800
1973-03-09,1.599321722984314,1.599321722984314,1.599321722984314,1.599321722984314,78400
1973-03-12,1.5942283868789673,1.5942283868789673,1.5942283868789673,1.5942283868789673,73600
1973-03-13,1.599321722984314,1.599321722984314,1.599321722984314,1.599321722984314,47200
1973-03-14,1.6044143438339233,1.6044143438339233,1.6044143438339233,1.6044143438339233,50400
1973-03-15,1.599321722984314,1.599321722984314,1.599321722984314,1.599321722984314,70400
1973-03-16,1.5942283868789673,1.5942283868789673,1.5942283868789673,1.5942283868789673,44800
1973-03-19,1.5789475440979004,1.5789475440979004,1.5789475440979004,1.5789475440979004,28000
1973-03-20,1.5483877658843994,1.5483877658843994,1.5483877658843994,1.5483877658843994,68800
1973-03-21,1.528014063835144,1.528014063835144,1.528014063835144,1.528014063835144,94400
1973-03-22,1.502546787261963,1.502546787261963,1.502546787261963,1.502546787261963,55200
1973-03-23,1.502546787261963,1.502546787261963,1.502546787261963,1.502546787261963,117600
